movie_name,movie_year,chart_year,ceremony,result,count,rank,year_rank,annual_share,z_score
The Treasure of the Sierra Madre,1948,1948,21st,N,219,231,1,0.132246376811594,64.8513565106796
Batman v Superman: Dawn of Justice,2016,2016,NA,NA,218,232,1,0.0637799882972499,41.5558419647017
300,2006,2006,NA,NA,215,234,1,0.0418206574596382,29.2926546448999
Thor,2011,2011,NA,NA,188,283,1,0.0334162815499467,21.9027946170339
The Bridge on the River Kwai,1957,1957,30th,W,183,286,1,0.0687453042824944,20.1711420971332
It Happened One Night,1934,1934,7th,W,175,305,1,0.127830533235939,80.3821760818712
Guardians of the Galaxy,2014,2014,NA,NA,161,346,1,0.0408940817881636,29.9335268277091
Double Indemnity,1944,1944,17th,N,153,366,1,0.100790513833992,45.5327703754527
The Adventures of Robin Hood,1938,1938,11th,N,143,402,1,0.08486646884273,52.2216340728916
White Heat,1949,1949,NA,NA,143,404,1,0.0912571793235482,47.3612570220567
Manos: The Hands of Fate,1966,1966,NA,NA,140,414,1,0.0647848218417399,24.7194609340414
Miracle on 34th Street,1947,1947,20th,N,120,508,1,0.106951871657754,50.8583562514173
Steamboat Willie,1928,1929,NA,NA,103,613,2,0.0632678132678133,44.2669949951035
Modern Times,1936,1936,NA,NA,102,624,1,0.0655948553054662,37.0868255501709
The Lost Weekend,1945,1945,18th,W,92,712,1,0.072156862745098,28.6043656279719
All Quiet on the Western Front,1930,1930,3rd,W,84,799,1,0.0927152317880795,37.1571691701406
